BitcoinBTC,"₽3,445,824.03"
TetherUSDT,₽79.17
EthereumETH,"₽255,606.23"
BNBBNB,"₽34,224.00"
USD CoinUSDC,₽79.15
PolygonMATIC,₽118.07
CardanoADA,₽85.74
XRPXRP,₽61.41
NEAR ProtocolNEAR,"₽1,220.53"
PolkadotDOT,"₽1,600.24"
SolanaSOL,"₽9,156.62"
Binance USDBUSD,₽79.08
LitecoinLTC,"₽8,980.40"
ChainlinkLINK,"₽1,237.96"
TRONTRX,₽5.12
TerraLUNA,"₽8,636.81"
CronosCRO,₽35.24
AvalancheAVAX,"₽6,703.19"
DaiDAI,₽79.20
FTX TokenFTT,"₽3,613.47"
DogecoinDOGE,₽11.56
FilecoinFIL,"₽1,773.19"
TerraUSDUST,₽79.02
VeChainVET,₽5.45
The SandboxSAND,₽241.90
MoneroXMR,"₽17,453.49"
KuCoin TokenKCS,"₽1,594.18"
StacksSTX,₽102.97
GalaGALA,₽17.85
Curve DAO TokenCRV,₽199.76
Neutrino USDUSDN,₽73.85
BitTorrent-NewBTT,₽0.0001585
Theta FuelTFUEL,₽14.73
CosmosATOM,"₽2,178.43"
The GraphGRT,₽33.98
HeliumHNT,"₽1,813.37"
Huobi TokenHT,₽728.53
STEPNGMT,₽181.54
DecentralandMANA,₽190.53
THORChainRUNE,₽736.06
FlowFLOW,₽519.27
ChilizCHZ,₽19.17
UNUS SED LEOLEO,₽465.91
FantomFTM,₽106.38
UniswapUNI,₽805.26
CeloCELO,₽297.37
TezosXTZ,₽268.05
KusamaKSM,"₽14,109.75"
Bitcoin CashBCH,"₽26,605.63"
StellarXLM,₽16.65
TrueUSDTUSD,₽79.17
KadenaKDA,₽521.13
Shiba InuSHIB,₽0.001972
Internet ComputerICP,"₽1,518.68"
EOSEOS,₽197.26
Pax DollarUSDP,₽79.31
Theta NetworkTHETA,₽275.34
Ethereum ClassicETC,"₽3,188.45"
KavaKAVA,₽357.04
MakerMKR,"₽163,095.00"
DecredDCR,"₽4,772.04"
Anchor ProtocolANC,₽264.13
CompoundCOMP,"₽10,869.11"
HarmonyONE,₽11.07
QuantQNT,"₽10,187.91"
OKBOKB,"₽1,546.18"
ElrondEGLD,"₽13,575.54"
AudiusAUDIO,₽103.03
ApeCoinAPE,₽885.58
DashDASH,"₽9,140.42"
Enjin CoinENJ,₽132.61
HoloHOT,₽0.462
Basic Attention TokenBAT,₽62.55
ZilliqaZIL,₽9.98
BORABORA,₽71.72
Convex FinanceCVX,"₽2,711.53"
QtumQTUM,₽569.24
MinaMINA,₽258.08
1inch Network1INCH,₽130.45
Axie InfinityAXS,"₽4,381.45"
Bitcoin SVBSV,"₽7,059.31"
PancakeSwapCAKE,₽708.01
WavesWAVES,"₽2,308.82"
NEMXEM,₽8.45
IOTAMIOTA,₽60.04
AaveAAVE,"₽16,101.74"
Wrapped BitcoinWBTC,"₽3,449,564.01"
AmpAMP,₽2.02
SecretSCRT,₽456.03
NexoNEXO,₽193.48
AlgorandALGO,₽63.20
HederaHBAR,₽17.16
NeoNEO,"₽1,827.60"
BancorBNT,₽201.34
ICONICX,₽69.34
yearn.financeYFI,"₽1,724,392.28"
SXPSXP,₽107.28
